id,year,county,cause,sex,age_code,N
719,100,110,19,2,19,1
720,100,110,19,2,20,1
721,100,110,19,2,21,1
722,100,110,19,2,23,2
723,100,110,20,2,16,1
724,100,110,20,2,18,1
725,100,110,20,2,20,1
726,100,110,20,2,21,2
727,100,110,20,2,22,1
728,100,110,21,2,19,1
729,100,110,21,2,20,1
730,100,110,21,2,21,1
731,100,110,22,2,14,1
732,100,110,22,2,18,1
733,100,110,22,2,19,1
734,100,110,22,2,20,2
735,100,110,23,1,17,1
736,100,110,23,1,18,2
737,100,110,23,1,19,1
738,100,110,23,1,21,1
739,100,110,23,1,22,1
740,100,110,23,1,23,5
741,100,110,23,1,24,1
742,100,110,23,1,25,1
743,100,110,25,2,14,1
744,100,110,25,2,20,1
745,100,110,25,2,22,1
746,100,110,25,1,23,1
747,100,110,26,2,21,1
748,100,110,26,2,22,1
749,100,110,26,1,23,1
750,100,110,27,2,12,1
751,100,110,27,2,13,1
752,100,110,27,1,16,1
753,100,110,27,2,18,1
754,100,110,27,2,20,1
755,100,110,28,2,20,1
756,100,110,29,2,20,1
757,100,110,29,1,20,1
758,100,110,29,2,21,1
759,100,110,31,2,16,1
760,100,110,31,2,17,1
761,100,110,31,1,18,1
762,100,110,31,1,19,2
763,100,110,31,1,21,1
764,100,110,31,2,22,1
765,100,110,31,1,22,1
766,100,110,31,2,23,2
767,100,110,31,1,24,1
768,100,110,31,2,25,1
769,100,110,32,2,7,1
770,100,110,32,2,9,1
771,100,110,32,2,18,1
772,100,110,32,1,18,1
773,100,110,32,1,21,1
774,100,110,32,2,22,1
775,100,110,33,2,16,1
776,100,110,33,2,17,2
777,100,110,33,2,18,2
778,100,110,33,1,18,3
779,100,110,33,2,20,3
780,100,110,33,1,20,3
781,100,110,33,2,21,2
782,100,110,33,1,21,4
783,100,110,33,2,22,2
784,100,110,33,1,22,1
785,100,110,33,2,23,2
786,100,110,33,1,23,1
787,100,111,1,1,14,1
788,100,111,1,1,15,1
789,100,111,1,1,16,1
790,100,111,1,1,17,1
791,100,111,1,1,19,1
792,100,111,1,1,20,2
793,100,111,1,1,21,1
794,100,111,2,1,17,1
795,100,111,3,2,12,1
796,100,111,3,1,12,1
797,100,111,3,1,14,2
798,100,111,3,1,15,1
799,100,111,4,2,14,1
800,100,111,4,1,17,3
801,100,111,4,2,18,1
802,100,111,4,1,18,2
803,100,111,4,1,19,1
804,100,111,4,1,20,1
805,100,111,4,1,22,1
806,100,111,4,1,23,1
807,100,111,5,1,9,1
808,100,111,5,2,14,1
809,100,111,5,2,15,1
810,100,111,5,1,15,3
811,100,111,5,1,16,1
812,100,111,5,2,17,1
813,100,111,5,2,19,1
814,100,111,5,2,20,2
815,100,111,5,1,20,1
816,100,111,5,1,21,4
817,100,111,5,1,22,4
818,100,111,5,1,23,1
819,100,111,6,2,18,1
820,100,111,6,2,20,1
821,100,111,7,2,13,1
822,100,111,7,1,13,1
823,100,111,7,1,14,2
824,100,111,7,1,16,1
825,100,111,7,2,17,2
826,100,111,7,1,17,3
827,100,111,7,2,18,1
828,100,111,7,2,19,2
829,100,111,7,1,19,3
830,100,111,7,2,20,6
831,100,111,7,1,20,1
832,100,111,7,2,21,4
833,100,111,7,1,21,3
834,100,111,7,2,22,1
835,100,111,7,1,22,2
836,100,111,7,2,23,1
837,100,111,7,1,23,3
838,100,111,8,2,13,1
839,100,111,8,1,13,2
840,100,111,8,1,15,4
841,100,111,8,1,16,1
842,100,111,8,2,17,3
843,100,111,8,1,17,7
844,100,111,8,2,18,1
845,100,111,8,1,18,8
846,100,111,8,2,19,5
847,100,111,8,1,19,5
848,100,111,8,2,20,4
849,100,111,8,1,20,2
850,100,111,8,2,21,2
851,100,111,8,1,21,4
852,100,111,8,2,22,1
853,100,111,8,1,22,3
854,100,111,8,1,23,1
855,100,111,8,1,24,1
856,100,111,8,1,25,1
857,100,111,9,2,18,1
858,100,111,9,2,19,1
859,100,111,9,2,21,1
860,100,111,9,2,22,1
861,100,111,9,1,22,1
862,100,111,9,1,23,1
863,100,111,10,2,17,1
864,100,111,10,2,18,1
865,100,111,10,1,18,3
866,100,111,10,2,19,2
867,100,111,10,1,19,1
868,100,111,10,2,20,4
869,100,111,10,1,20,1
870,100,111,10,2,21,1
871,100,111,10,1,21,2
872,100,111,10,1,22,1
873,100,111,10,2,23,1
874,100,111,10,1,23,2
875,100,111,12,1,15,1
876,100,111,12,1,17,1
877,100,111,12,1,23,1
878,100,111,13,2,14,2
879,100,111,13,2,15,2
880,100,111,13,1,15,2
881,100,111,13,1,16,2
882,100,111,13,2,17,5
883,100,111,13,1,17,3
884,100,111,13,2,18,5
885,100,111,13,1,18,4
886,100,111,13,2,19,4
887,100,111,13,1,19,5
888,100,111,13,2,20,7
889,100,111,13,1,20,6
890,100,111,13,2,21,2
891,100,111,13,1,21,6
892,100,111,13,2,22,6
893,100,111,13,1,22,8
894,100,111,13,2,23,3
895,100,111,13,1,23,10
896,100,111,13,2,24,1
897,100,111,13,1,24,2
898,100,111,15,2,17,1
899,100,111,16,2,9,1
900,100,111,16,2,15,1
901,100,111,16,1,17,1
902,100,111,17,2,16,1
903,100,111,17,2,20,1
904,100,111,18,2,16,1
905,100,111,18,1,21,1
906,100,111,18,2,22,1
907,100,111,19,2,13,2
908,100,111,19,2,14,1
909,100,111,19,2,15,3
910,100,111,19,2,16,2
911,100,111,19,2,17,1
912,100,111,19,2,18,4
913,100,111,19,2,19,2
914,100,111,19,2,21,1
915,100,111,19,2,22,2
916,100,111,19,2,24,1
917,100,111,20,2,16,2
918,100,111,20,2,20,3
919,100,111,20,2,25,1
920,100,111,21,2,14,1
921,100,111,21,2,15,1
922,100,111,21,2,16,1
923,100,111,21,2,20,1
924,100,111,22,2,14,1
925,100,111,22,2,15,1
926,100,111,22,2,18,2
927,100,111,23,1,16,1
928,100,111,23,1,18,1
929,100,111,23,1,20,1
930,100,111,23,1,21,4
931,100,111,23,1,22,5
932,100,111,23,1,23,1
933,100,111,23,1,24,2
934,100,111,23,1,25,1
